iter	Passed	Remaining
0	1	156
1	2	143
2	4	155
3	6	152
4	8	153
5	9	153
6	11	152
7	12	147
8	14	141
9	15	140
10	16	137
11	18	133
12	19	128
13	20	124
14	21	120
15	22	117
16	23	113
17	24	111
18	25	108
19	26	106
20	27	104
21	28	101
22	29	99
23	31	98
24	32	96
25	33	94
26	34	92
27	35	90
28	36	88
29	37	86
30	38	85
31	39	83
32	40	81
33	41	79
34	42	78
35	43	77
36	44	75
37	45	74
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	61	54
53	63	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	81	34
70	82	33
71	83	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	99	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
