iter	Passed	Remaining
0	141	140915
1	142	71090
2	143	47814
3	145	36108
4	146	29071
5	147	24383
6	148	21038
7	149	18544
8	150	16619
9	152	15120
10	154	13925
11	156	12881
12	158	11999
13	159	11251
14	161	10581
15	162	9978
16	163	9467
17	165	9007
18	167	8630
19	169	8317
20	171	7985
21	172	7689
22	174	7403
23	175	7140
24	176	6898
25	178	6677
26	179	6475
27	181	6304
28	182	6125
29	184	5959
30	185	5801
31	186	5652
32	188	5516
33	189	5393
34	191	5282
35	193	5173
36	194	5067
37	195	4960
38	197	4860
39	198	4761
40	199	4670
41	200	4581
42	202	4498
43	203	4417
44	204	4347
45	206	4274
46	207	4204
47	209	4145
48	210	4088
49	211	4022
50	212	3961
51	213	3899
52	215	3844
53	216	3793
54	218	3747
55	219	3697
56	220	3650
57	221	3604
58	223	3566
59	225	3529
60	226	3487
61	227	3446
62	229	3409
63	230	3370
64	231	3335
65	233	3300
66	234	3266
67	235	3230
68	236	3195
69	238	3170
70	239	3137
71	241	3106
72	242	3075
73	243	3046
74	244	3019
75	246	2992
76	247	2965
77	248	2939
78	249	2912
79	251	2887
80	253	2870
81	255	2855
82	255	2826
83	257	2804
84	258	2783
85	260	2763
86	261	2743
87	262	2722
88	263	2701
89	265	2681
90	267	2673
91	269	2657
92	270	2642
93	272	2622
94	273	2602
95	274	2583
96	275	2564
97	276	2546
98	277	2528
99	279	2511
100	280	2496
101	282	2484
102	283	2469
103	284	2454
104	285	2437
105	287	2421
106	288	2406
107	289	2392
108	290	2376
109	292	2365
110	293	2352
111	296	2351
112	297	2338
113	299	2328
114	300	2315
115	301	2301
116	302	2285
117	304	2273
118	305	2261
119	306	2248
120	307	2236
121	309	2224
122	310	2216
123	312	2206
124	314	2198
125	315	2187
126	316	2175
127	317	2165
128	319	2154
129	320	2143
130	321	2132
131	322	2122
132	323	2111
133	326	2107
134	327	2098
135	328	2087
136	329	2077
137	331	2068
138	332	2057
139	334	2053
140	335	2045
141	336	2033
142	337	2024
143	339	2016
144	341	2012
145	343	2007
146	344	1999
147	345	1991
148	347	1984
149	348	1977
150	350	1970
151	351	1961
152	352	1952
153	354	1945
154	355	1939
155	357	1933
156	358	1925
157	359	1918
158	361	1910
159	362	1903
160	363	1893
161	365	1888
162	366	1883
163	368	1876
164	370	1877
165	372	1871
166	373	1864
167	375	1857
168	376	1850
169	377	1844
170	379	1838
171	380	1830
172	381	1823
173	382	1817
174	384	1812
175	385	1806
176	387	1799
177	388	1793
178	390	1789
179	391	1784
180	393	1779
181	394	1773
182	395	1767
183	397	1761
184	413	1819
185	414	1814
186	416	1809
187	417	1803
188	418	1796
189	419	1790
190	421	1784
191	422	1778
192	424	1773
193	425	1766
194	426	1762
195	429	1760
196	430	1756
197	432	1750
198	433	1744
199	434	1737
200	435	1731
201	437	1726
202	438	1722
203	440	1719
204	442	1714
205	443	1708
206	446	1709
207	447	1704
208	449	1701
209	450	1696
210	452	1692
211	454	1687
212	455	1683
213	456	1678
214	460	1679
215	461	1675
216	462	1670
217	464	1664
218	465	1659
219	466	1654
220	468	1650
221	469	1646
222	471	1642
223	472	1636
224	475	1636
225	476	1631
226	477	1627
227	479	1622
228	480	1618
229	482	1614
230	483	1610
231	485	1607
232	487	1604
233	491	1609
234	493	1605
235	494	1601
236	496	1596
237	497	1591
238	498	1586
239	499	1580
240	500	1577
241	502	1572
242	504	1572
243	506	1570
244	508	1568
245	510	1564
246	512	1561
247	514	1559
248	516	1556
249	517	1552
250	519	1550
251	520	1546
252	522	1543
253	524	1540
254	528	1543
255	530	1540
256	531	1537
257	533	1533
258	537	1536
259	538	1534
260	540	1530
261	543	1530
262	545	1528
263	549	1532
264	551	1530
265	554	1530
266	557	1529
267	558	1526
268	560	1522
269	561	1518
270	564	1519
271	566	1516
